,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
185,Bristol Mountain,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2.0,160.0,148.0,129,55,60.0,65.0,76.0,129,154.0,1
186,Buffalo Ski Club Ski Area,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,1.43,225.0,150.0,108,12,131.3,35.0,50.0,112,100.0,1
187,Catamount,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2.0,133.0,130.0,100,80,108.0,38.0,69.0,90,55.0,1
188,Dry Hill Ski Area,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35.0,26.0,108,55,125.0,57.92,35.0,112,26.0,1
189,Gore Mountain,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439.0,338.0,142,55,150.0,80.0,88.0,112,15.0,1
190,Greek Peak,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220.0,184.0,110,62,122.0,49.0,63.2,113,175.0,1
191,Holiday Mountain,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37.0,37.0,75,60,50.0,27.0,42.0,85,37.0,1
192,Holiday Valley,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1.0,290.0,266.0,116,62,180.0,65.0,78.0,129,189.0,1
193,Holimont Ski Area,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135.0,135.0,110,57,180.0,62.0,75.0,119,0.0,1
194,Hunt Hollow Ski Club,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1.0,400.0,400.0,108,52,130.0,48.0,58.0,75,400.0,1
195,Hunter Mountain,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2.0,320.0,320.0,148,59,120.0,79.0,89.0,155,0.0,1
196,Kissing Bridge,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700.0,550.0,103,59,120.0,40.0,60.0,100,650.0,1
197,Labrador Mt.,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1.0,250.0,237.0,108,62,125.0,59.0,59.0,100,180.0,1
198,Maple Ski Ridge,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25.0,25.0,108,57,131.3,26.0,38.0,112,20.0,1
199,McCauley Mountain Ski Center,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70.0,55.0,105,61,200.0,20.0,30.0,105,0.0,1
200,Mount Peter Ski Area,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1.0,69.0,69.0,100,83,50.0,35.0,54.0,100,69.0,1
201,Oak Mountain,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46.0,18.0,108,71,120.0,40.0,40.0,112,12.0,1
202,Peek'n Peak,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110.0,110.0,110,55,225.0,49.0,63.0,112,110.0,1
203,Plattekill Mountain,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2.0,110.0,75.0,65,26,175.0,50.0,67.0,65,0.0,1
204,Royal Mountain Ski Area,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35.0,28.0,108,63,90.0,45.0,45.0,112,0.0,1
205,Snow Ridge,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130.0,65.0,73,74,230.0,38.0,48.0,100,40.0,1
206,Song Mountain,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93.0,70.0,90,55,125.0,59.0,59.0,122,70.0,1
207,Swain,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1.0,130.0,90.0,102,72,120.0,49.0,59.0,100,80.0,1
208,Thunder Ridge,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100.0,100.0,121,60,131.3,57.92,57.0,121,100.0,1
209,Titus Mountain,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2.0,200.0,150.0,101,59,150.0,39.0,49.0,100,70.0,1
